Number,Product_code,Product_name,Rating,number of reveiws,Price,Images
19,B091NX3DRV,"Lenovo E41-45 (82BFS00300) Laptop (AMD A9-9425 / 4GB RAM/ 1TB HDD/ Win 10 Home SL/ 14 Inch Screen / Black), 1 Year Warranty",3.4 out of 5 stars,14,"26,804",https://m.media-amazon.com/images/I/41KXFM-iBES._AC_UY218_.jpg
20,B08DHZS1XQ,Lenovo 82C7A006IH V15 ADA Laptop (AMD Athlon Silver 3050U/4GB Ram/ 1TB HDD/ 15.6 inch HD AG/ Windows-10/Integrated AMD Radeon Graphics/ Iron Grey),3.3 out of 5 stars,93,"27,990",https://m.media-amazon.com/images/I/51RSK3t7tsL._AC_UY218_.jpg
21,B08C5W6PL2,"HP Chromebook 14a-na0003TU 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver",3.9 out of 5 stars,508,"27,721",https://m.media-amazon.com/images/I/613WULNEr1L._AC_UY218_.jpg
22,B094FWPPCP,"(Renewed) HP 14 (2021) Thin & Light Intel Celeron N4500 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-inch HD Screen, Windows 10, MS Office (14s-dq3017TU)",3.5 out of 5 stars,3,"28,490",https://m.media-amazon.com/images/I/616KoIhP8SS._AC_UY218_.jpg
23,B08XY3QXY5,"HP 14 (2021) Thin & Light 11th Gen Core i3 Laptop, 8 GB RAM, 256GB SSD, 14-inch (35.56 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa(14s-dy2500TU)",4.3 out of 5 stars,"1,575","41,393",https://m.media-amazon.com/images/I/71CiYVzgJsL._AC_UY218_.jpg
24,B095JW3CCX,"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ DOS /Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700HXIH",3.3 out of 5 stars,11,"26,189",https://m.media-amazon.com/images/I/411HK-wMOES._AC_UY218_.jpg
25,B083SNGBLF,"HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au)",3.3 out of 5 stars,325,"32,954",https://m.media-amazon.com/images/I/719F8WdfBzL._AC_UY218_.jpg
26,B08XNYN5QV,"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)",4.2 out of 5 stars,"1,046","58,490",https://m.media-amazon.com/images/I/71uOkXZyteL._AC_UY218_.jpg
27,B08CZ2KNS4,"HP Pavilion Gaming 15.6-inch(39.62 cms) FHD Gaming Laptop (Ryzen 5-4600H/8GB/1TB HDD/M.2 Slot/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black), 15-ec1024AX",4.1 out of 5 stars,381,"59,990",https://m.media-amazon.com/images/I/71FeUtw+TPL._AC_UY218_.jpg
28,B08HJZLW96,"HP 15 10th Gen Intel Core i3 Processor 15.6-inch(39.6 cm) FHD Laptop (8GB/256GB SSD+1TB HDD/Windows 10/MS Office/Jet Black/1.74Kg), 15s-du1064TU",4.2 out of 5 stars,207,"44,194",https://m.media-amazon.com/images/I/81Ne5qKmE8L._AC_UY218_.jpg
29,B08Q7Q3LZZ,"Lenovo E41-45 (82BF000EIH) Laptop (AMD A6-7350B/ 4GB RAM/ 1TB HDD/ DOS/ 14 Inch Screen), 1 Year Warranty",3.8 out of 5 stars,12,Currently Unavailable,https://m.media-amazon.com/images/I/41T2Oimq0AL._AC_UY218_.jpg
30,B08XNYH4LX,"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/512GB SSD/Win 10/MS Offce/Integrated Graphics/Natural Silver/1.69 Kg), 15s-fr2006TU",4.0 out of 5 stars,457,"45,490",https://m.media-amazon.com/images/I/71v8LZ7H+yL._AC_UY218_.jpg
31,B097RKZYGS,"ASUS VivoBook 14 (2020), 14-inch (35.56 cms) Full HD, AMD Ryzen 3 3250U, Thin and Light Laptop (4GB RAM/1TB HDD/Integrated Graphics/Windows 10/Slate Grey/1.6 kg), M415DA-EB301T",No Rating Available,0,"35,155",https://m.media-amazon.com/images/I/716bvqzz7PL._AC_UY218_.jpg
32,B08XNYH4LX,"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/512GB SSD/Win 10/MS Offce/Integrated Graphics/Natural Silver/1.69 Kg), 15s-fr2006TU",4.0 out of 5 stars,457,"45,490",https://m.media-amazon.com/images/I/71v8LZ7H+yL._AC_UY218_.jpg
33,B097RKZYGS,"ASUS VivoBook 14 (2020), 14-inch (35.56 cms) Full HD, AMD Ryzen 3 3250U, Thin and Light Laptop (4GB RAM/1TB HDD/Integrated Graphics/Windows 10/Slate Grey/1.6 kg), M415DA-EB301T",No Rating Available,0,"35,155",https://m.media-amazon.com/images/I/716bvqzz7PL._AC_UY218_.jpg
34,B094CD1DTL,"(Renewed) HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",3.0 out of 5 stars,4,"33,500",https://m.media-amazon.com/images/I/41ReDqQSebL._AC_UY218_.jpg
35,B08MQ67ZX3,"Dell Inspiron 3501 15.6"" FHD Anti Glare Display Laptop ( i3-1005G1 / 4GB / 256 SSD / Integrated Graphics / 1 Yr NBD / Win 10 + MSO / Accent Black) D560397WIN9BE",4.0 out of 5 stars,15,"36,790",https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg
36,B08PQPRD69,"HP 15 Thin & Light 15.6""(39.62cms) FHD Laptop (11th Gen Intel Core i5-1135G7, 8GB DDR4, 1TB HDD, Windows 10 Home, MS Office, Integrated Graphics, FPR, Natural Silver, 1.76 Kg), 15s-du3032TU",3.9 out of 5 stars,354,"56,390",https://m.media-amazon.com/images/I/71dbvTXW+hL._AC_UY218_.jpg
37,B08WBB369L,"HP Pavilion (2021) Thin & Light 11th Gen Core i5 Laptop, 16 GB RAM, 512GB SSD, Iris Xe Graphics, 14-inch (35.56 cms) FHD Screen, Win 10, MS Office, Backlit Keyboard, Natural Silver (14-dv0054TU)",4.4 out of 5 stars,519,"66,990",https://m.media-amazon.com/images/I/71hmqIQJFdL._AC_UY218_.jpg
38,B099JZ9TPV,"(Renewed) Lenovo Ideapad Slim 3i Intel Core i5 10th Gen 15.6 FHD Thin and Light Laptop (8GB/1TB+256 GB SSD/Windows 10/Office/Platinum Grey/1.85Kg), 81WE007XIN",No Rating Available,0,"42,593",https://m.media-amazon.com/images/I/619jLhrWsqS._AC_UY218_.jpg
39,B08R777GBL,"Dell 14 (2021) Thin & Light i3-1005G1 Laptop, 4Gb RAM, 1TB HDD + 256GB SSD, 14” (35.56 Cms) FHD AG Display, Win 10 + MSO, Black (Vostro 3401, D552151WIN9BE)",4.3 out of 5 stars,85,"39,190",https://m.media-amazon.com/images/I/8147cwFm2PL._AC_UY218_.jpg
40,B08X4JQ58G,"Dell Inspiron 3501 15"" FHD Display Laptop (i3-1005G1 / 8GB / 256GB SSD / Integrated Graphics / Win 10 + MSO / Accent Black) D560396WIN9BE",4.1 out of 5 stars,88,"39,893",https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg
41,B093VZC5X9,"HP 14 (2021) 11th Gen Intel Core i3 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-Inch (35.6 cm) FHD Screen, Windows 10, MS Office, (14s- dy2501tu)",4.3 out of 5 stars,157,"41,990",https://m.media-amazon.com/images/I/71bJqS8ZLTL._AC_UY218_.jpg
42,B091YK7PRH,"Acer Aspire 5 Intel Core i3 11th Generation 15.6"" (39.62 cms) - (4 GB/256 GB SSD/MS Office 2019/Windows 10 Home/Intel UHD Graphics /1.65Kg/Silver) A515-56",4.3 out of 5 stars,71,"38,990",https://m.media-amazon.com/images/I/71WbatK7HVL._AC_UY218_.jpg
43,B097C4VWF9,"(Renewed) Lenovo Thinkpad Hybrid Laptop X230 Intel Core i5 - 3320m Processor, 4 GB Ram & 256 GB SSD & 320GB HDD, Win10, 12.5 Inches 1.34 KG Ultralight Computer",No Rating Available,0,"26,989",https://m.media-amazon.com/images/I/61R6kEAt-9S._AC_UY218_.jpg
44,B08Q7JSR2F,"Lenovo E41-45 (82BF000JIH) Laptop (AMD A6-7350B/ 4GB RAM/ 1TB HDD/ Win 10 Home SL/ 14"" (35.56cms) Screen), 1 Year Warranty",3.9 out of 5 stars,57,"28,500",https://m.media-amazon.com/images/I/41T2Oimq0AL._AC_UY218_.jpg
45,B08X4NRJ9Q,"Dell Vostro 3400 14"" (35.56 cms) FHD Display Laptop (11th gen i5-1135G7 / 8GB / 512GB SSD / Integrated Graphics / Win 10 + MSO / Backlit Keyboard / Dune Color) D552173WIN9DE",4.7 out of 5 stars,7,"53,190",https://m.media-amazon.com/images/I/51CEknIIHcL._AC_UY218_.jpg
46,B09634WK1T,"Lenovo IdeaPad Slim 3 (2021) | 11th Gen Intel Core i3 |14"" FHD IPS |Thin & Light Laptop | 4-Side Narrow Bezel (8GB/256GB SSD/Win10/Office/Backlit KB/Fingerprint Reader/Arctic Grey/1.41Kg), 82H700KAIN",4.4 out of 5 stars,10,"43,990",https://m.media-amazon.com/images/I/61+gLXwdCgS._AC_UY218_.jpg
47,B098DSF15C,Acer Aspire 5 Thin & Light 11th Gen Core i5 Laptop (8 GB RAM/1 TB HDD/Windows 10/Intel Iris Xe Graphics/Backlit Keyboard/1.65Kg/Silver)- 15.6-inch(35.56 cms) FHD Screen A515-56,No Rating Available,0,"54,990",https://m.media-amazon.com/images/I/41a5nvLpbpS._AC_UY218_.jpg
